matrix,schedule,num_threads,chunk_size,seq_time,par_time,speedup,efficiency,seq_bandwidth,par_bandwidth,bandwidth_speedup,seq_gflops,par_gflops,gflops_speedup,seq_L1_miss,par_L1_miss,seq_LLC_miss,par_LLC_miss,L1_miss_increase,LLC_miss_increase,L1_miss_ratio,LLC_miss_ratio
bcsstk27.mtx,dynamic,8,100,0.02408,0.024175,0.99607,0.124509,14.843106,26.819455,1.806863,2.479828,4.480709,1.806863,0.25,0.28,2.993,21.53,0.03,18.537,1.12,7.193451
bcsstk27.mtx,dynamic,16,100,0.02408,0.022054,1.091865,0.068242,14.843106,21.958129,1.479349,2.479828,3.668531,1.479349,0.25,0.263,2.993,20.625,0.013,17.632,1.052,6.891079
bcsstk27.mtx,dynamic,32,100,0.02408,0.023318,1.032679,0.032271,14.843106,17.248736,1.162071,2.479828,2.881735,1.162071,0.25,0.154,2.993,22.322,-0.096,19.329,0.616,7.458069
bcsstk27.mtx,dynamic,64,100,0.02408,0.036311,0.66316,0.010362,14.843106,11.338936,0.763919,2.479828,1.894389,0.76392,0.25,0.091,2.993,21.159,-0.159,18.166,0.364,7.069495
bcsstk27.mtx,guided,1,10000,0.02408,0.025034,0.961892,0.961892,14.843106,13.766508,0.927468,2.479828,2.299962,0.927468,0.25,0.27,2.993,27.31,0.02,24.317,1.08,9.124624
bcsstk27.mtx,guided,2,10,0.02408,0.033403,0.720893,0.360447,14.843106,19.277071,1.298722,2.479828,3.220608,1.298722,0.25,0.271,2.993,21.506,0.021,18.513,1.084,7.185433
bcsstk27.mtx,guided,4,100,0.02408,0.021386,1.12597,0.281493,14.843106,24.580549,1.656025,2.479828,4.106657,1.656025,0.25,0.28,2.993,22.174,0.03,19.181,1.12,7.40862
bcsstk27.mtx,guided,8,100,0.02408,0.018215,1.321987,0.165248,14.843106,25.007695,1.684802,2.479828,4.17802,1.684802,0.25,0.271,2.993,22.037,0.021,19.044,1.084,7.362847
bcsstk27.mtx,guided,16,100,0.02408,0.022459,1.072176,0.067011,14.843106,20.278609,1.366197,2.479828,3.387934,1.366197,0.25,0.29,2.993,23.914,0.04,20.921,1.16,7.989977
bcsstk27.mtx,guided,32,100,0.02408,0.030232,0.796507,0.024891,14.843106,13.885171,0.935463,2.479828,2.319787,0.935463,0.25,0.22,2.993,19.946,-0.03,16.953,0.88,6.664217
bcsstk27.mtx,guided,64,100,0.02408,0.051117,0.471076,0.007361,14.843106,8.591029,0.578789,2.479828,1.435298,0.578789,0.25,0.1,2.993,20.783,-0.15,17.79,0.4,6.943869
bcsstk27.mtx,static,1,1000,0.02408,0.025034,0.961892,0.961892,14.843106,13.84405,0.932692,2.479828,2.312917,0.932693,0.25,0.27,2.993,14.79,0.02,11.797,1.08,4.94153
bcsstk27.mtx,static,2,100,0.02408,0.021672,1.111111,0.555556,14.843106,19.197083,1.293333,2.479828,3.207244,1.293333,0.25,0.271,2.993,19.71,0.021,16.717,1.084,6.585366
bcsstk27.mtx,static,4,100,0.02408,0.01359,1.771891,0.442973,14.843106,28.287467,1.905765,2.479828,4.725969,1.905765,0.25,0.28,2.993,22.547,0.03,19.554,1.12,7.533244
bcsstk27.mtx,static,8,100,0.02408,0.01502,1.603196,0.200399,14.843106,28.795625,1.94,2.479828,4.810867,1.94,0.25,0.28,2.993,28.593,0.03,25.6,1.12,9.553291
bcsstk27.mtx,static,16,100,0.02408,0.019145,1.25777,0.078611,14.843106,24.959218,1.681536,2.479828,4.169921,1.681536,0.25,0.244,2.993,23.752,-0.006,20.759,0.976,7.93585
bcsstk27.mtx,static,32,100,0.02408,0.027036,0.890664,0.027833,14.843106,16.361151,1.102273,2.479828,2.733447,1.102273,0.25,0.154,2.993,20.34,-0.096,17.347,0.616,6.795857
bcsstk27.mtx,static,64,100,0.02408,0.041914,0.57451,0.008977,14.843106,10.128065,0.682341,2.479828,1.692089,0.682341,0.25,0.1,2.993,18.652,-0.15,15.659,0.4,6.231874
msdoor.mtx,dynamic,1,10000,11.418819,11.295605,1.010908,1.010908,11.080643,11.290865,1.018972,1.858257,1.893511,1.018972,0.27,0.26,23.194,22.768,-0.01,-0.426,0.962963,0.981633
msdoor.mtx,dynamic,2,10000,11.418819,5.908823,1.932503,0.966252,11.080643,21.188249,1.912186,1.858257,3.553333,1.912186,0.27,0.26,23.194,24.145,-0.01,0.951,0.962963,1.041002
msdoor.mtx,dynamic,4,10000,11.418819,6.070495,1.881036,0.470259,11.080643,22.859248,2.062989,1.858257,3.833564,2.062989,0.27,0.26,23.194,27.169,-0.01,3.975,0.962963,1.171381
msdoor.mtx,dynamic,8,10000,11.418819,4.373813,2.610724,0.326341,11.080643,33.081668,2.985537,1.858257,5.547894,2.985536,0.27,0.26,23.194,26.651,-0.01,3.457,0.962963,1.149047
msdoor.mtx,dynamic,16,1000,11.418819,4.770159,2.393803,0.149613,11.080643,34.18385,3.085006,1.858257,5.732733,3.085005,0.27,0.26,23.194,26.016,-0.01,2.822,0.962963,1.121669
msdoor.mtx,dynamic,32,10,11.418819,5.750799,1.985606,0.06205,11.080643,23.059902,2.081098,1.858257,3.867214,2.081098,0.27,0.291,23.194,39.422,0.021,16.228,1.077778,1.699664
msdoor.mtx,dynamic,64,10,11.418819,6.864547,1.663448,0.025991,11.080643,26.846682,2.422845,1.858257,4.502268,2.422845,0.27,0.29,23.194,37.909,0.02,14.715,1.074074,1.634431
msdoor.mtx,guided,1,10,11.418819,11.118388,1.027021,1.027021,11.080643,11.39006,1.027924,1.858257,1.910147,1.027924,0.27,0.261,23.194,22.988,-0.009,-0.206,0.966667,0.991118
msdoor.mtx,guided,2,10000,11.418819,6.970668,1.638124,0.819062,11.080643,20.545432,1.854173,1.858257,3.44553,1.854173,0.27,0.26,23.194,22.412,-0.01,-0.782,0.962963,0.966284
msdoor.mtx,guided,4,1,11.418819,5.769253,1.979254,0.494814,11.080643,24.681031,2.227401,1.858257,4.139083,2.227401,0.27,0.26,23.194,26.046,-0.01,2.852,0.962963,1.122963
msdoor.mtx,guided,8,100,11.418819,4.451346,2.565251,0.320656,11.080643,35.49509,3.203342,1.858257,5.952632,3.203342,0.27,0.27,23.194,26.271,0.0,3.077,1.0,1.132664
msdoor.mtx,guided,16,10000,11.418819,4.243708,2.690765,0.168173,11.080643,34.849654,3.145093,1.858257,5.84439,3.145092,0.27,0.261,23.194,27.142,-0.009,3.948,0.966667,1.170216
msdoor.mtx,guided,32,10000,11.418819,7.728958,1.477407,0.046169,11.080643,30.145973,2.720598,1.858257,5.055569,2.720597,0.27,0.261,23.194,26.4,-0.009,3.206,0.966667,1.138225
msdoor.mtx,guided,64,10000,11.418819,36.142874,0.315936,0.004936,11.080643,13.612822,1.228523,1.858257,2.282911,1.228523,0.27,0.26,23.194,25.807,-0.01,2.613,0.962963,1.112658
msdoor.mtx,static,1,10,11.418819,12.524438,0.911723,0.911723,11.080643,10.14564,0.915618,1.858257,1.701454,0.915618,0.27,0.26,23.194,22.803,-0.01,-0.391,0.962963,0.983142
msdoor.mtx,static,2,100,11.418819,6.411362,1.781029,0.890514,11.080643,19.622207,1.770855,1.858257,3.290702,1.770854,0.27,0.27,23.194,28.95,0.0,5.756,1.0,1.248168
msdoor.mtx,static,4,1000,11.418819,5.350756,2.134057,0.533514,11.080643,24.539311,2.214611,1.858257,4.115315,2.21461,0.27,0.261,23.194,27.881,-0.009,4.687,0.966667,1.202078
msdoor.mtx,static,8,1000,11.418819,3.038216,3.758396,0.4698,11.080643,52.410369,4.729903,1.858257,8.789374,4.729902,0.27,0.261,23.194,25.923,-0.009,2.729,0.966667,1.11766
msdoor.mtx,static,16,10000,11.418819,2.48065,4.603156,0.287697,11.080643,71.984304,6.496401,1.858257,12.071982,6.496401,0.27,0.261,23.194,26.452,-0.009,3.258,0.966667,1.140467
msdoor.mtx,static,32,10000,11.418819,2.28157,5.004808,0.1564,11.080643,141.145267,12.738003,1.858257,23.670481,12.738002,0.27,0.26,23.194,25.516,-0.01,2.322,0.962963,1.100112
msdoor.mtx,static,64,10000,11.418819,3.937197,2.900241,0.045316,11.080643,186.600096,16.840187,1.858257,31.29339,16.840184,0.27,0.261,23.194,24.615,-0.009,1.421,0.966667,1.061266
