matrix,mode,opt_level,schedule,chunk_size,num_threads,perc90_elapsed_time
Andrews.mtx,parallel,-O3,dynamic,10000,16,0.97957
Andrews.mtx,parallel,-O3,dynamic,10000,32,0.91627
Andrews.mtx,parallel,-O3,dynamic,10000,64,1.05608
Andrews.mtx,parallel,-O3,guided,1,1,0.74251
Andrews.mtx,parallel,-O3,guided,1,2,1.04845
Andrews.mtx,parallel,-O3,guided,1,4,0.51062
Andrews.mtx,parallel,-O3,guided,1,8,0.40937
Andrews.mtx,parallel,-O3,guided,1,16,0.28062
Andrews.mtx,parallel,-O3,guided,1,32,0.36001
Andrews.mtx,parallel,-O3,guided,1,64,0.67985
Andrews.mtx,parallel,-O3,guided,10,1,0.73676
Andrews.mtx,parallel,-O3,guided,10,2,1.04516
Andrews.mtx,parallel,-O3,guided,10,4,0.51944
Andrews.mtx,parallel,-O3,guided,10,8,0.33557
Andrews.mtx,parallel,-O3,guided,10,16,0.26376
Andrews.mtx,parallel,-O3,guided,10,32,0.29137
Andrews.mtx,parallel,-O3,guided,10,64,0.59407
Andrews.mtx,parallel,-O3,guided,100,1,0.71049
Andrews.mtx,parallel,-O3,guided,100,2,1.05848
Andrews.mtx,parallel,-O3,guided,100,4,0.51813
Andrews.mtx,parallel,-O3,guided,100,8,0.34275
Andrews.mtx,parallel,-O3,guided,100,16,0.23732
Andrews.mtx,parallel,-O3,guided,100,32,0.2347
Andrews.mtx,parallel,-O3,guided,100,64,0.37227
Andrews.mtx,parallel,-O3,guided,1000,1,0.70775
Andrews.mtx,parallel,-O3,guided,1000,2,1.05002
Andrews.mtx,parallel,-O3,guided,1000,4,0.52135
Andrews.mtx,parallel,-O3,guided,1000,8,0.38135
Andrews.mtx,parallel,-O3,guided,1000,16,0.31414
Andrews.mtx,parallel,-O3,guided,1000,32,0.26994
Andrews.mtx,parallel,-O3,guided,1000,64,0.33309
Andrews.mtx,parallel,-O3,guided,10000,1,0.88019
Andrews.mtx,parallel,-O3,guided,10000,2,1.04218
Andrews.mtx,parallel,-O3,guided,10000,4,0.55702
Andrews.mtx,parallel,-O3,guided,10000,8,0.84987
Andrews.mtx,parallel,-O3,guided,10000,16,0.82128
Andrews.mtx,parallel,-O3,guided,10000,32,0.95293
Andrews.mtx,parallel,-O3,guided,10000,64,1.05767
bcsstk27.mtx,parallel,-O3,static,1,1,0.02654
bcsstk27.mtx,parallel,-O3,static,1,2,0.12038
bcsstk27.mtx,parallel,-O3,static,1,4,0.10486
bcsstk27.mtx,parallel,-O3,static,1,8,0.10176
bcsstk27.mtx,parallel,-O3,static,1,16,0.09253
bcsstk27.mtx,parallel,-O3,static,1,32,0.14362
bcsstk27.mtx,parallel,-O3,static,1,64,0.21682
bcsstk27.mtx,parallel,-O3,static,10,1,0.02847
bcsstk27.mtx,parallel,-O3,static,10,2,0.08998
