matrix,mode,opt_level,schedule,chunk_size,num_threads,elapsed_time,L1_miss_rate,LLC_miss_rate
Andrews.mtx,parallel,-O3,guided,1000,8,0.07994,1.0,24.439
Andrews.mtx,parallel,-O3,guided,1000,16,0.06063,0.99,17.111
Andrews.mtx,parallel,-O3,guided,1000,32,0.04837,0.961,16.847
Andrews.mtx,parallel,-O3,guided,1000,64,0.09588,0.883,13.361
Andrews.mtx,parallel,-O3,guided,10000,1,0.00142,0.99,9.457
Andrews.mtx,parallel,-O3,guided,10000,2,0.01168,1.0,19.823
Andrews.mtx,parallel,-O3,guided,10000,4,0.02636,1.0,19.423
Andrews.mtx,parallel,-O3,guided,10000,8,0.07498,0.991,20.965
Andrews.mtx,parallel,-O3,guided,10000,16,0.05691,0.973,21.723
Andrews.mtx,parallel,-O3,guided,10000,32,0.0524,0.97,21.004
Andrews.mtx,parallel,-O3,guided,10000,64,0.09361,0.89,23.53
bcsstk27.mtx,parallel,-O3,static,1,1,7e-05,0.24,15.487
bcsstk27.mtx,parallel,-O3,static,1,2,0.0114,0.341,33.693
bcsstk27.mtx,parallel,-O3,static,1,4,0.02095,0.392,34.171
bcsstk27.mtx,parallel,-O3,static,1,8,0.03384,0.322,35.447
bcsstk27.mtx,parallel,-O3,static,1,16,0.05326,0.36,29.256
bcsstk27.mtx,parallel,-O3,static,1,32,0.05453,0.233,29.428
bcsstk27.mtx,parallel,-O3,static,1,64,0.07754,0.191,26.03
bcsstk27.mtx,parallel,-O3,static,10,1,7e-05,0.24,9.464
bcsstk27.mtx,parallel,-O3,static,10,2,0.01519,0.28,25.991
bcsstk27.mtx,parallel,-O3,static,10,4,0.03093,0.281,21.441
bcsstk27.mtx,parallel,-O3,static,10,8,0.03196,0.251,25.159
bcsstk27.mtx,parallel,-O3,static,10,16,0.02926,0.291,26.518
bcsstk27.mtx,parallel,-O3,static,10,32,0.05547,0.18,21.041
bcsstk27.mtx,parallel,-O3,static,10,64,0.06746,0.14,21.527
bcsstk27.mtx,parallel,-O3,static,100,1,8e-05,0.24,10.553
bcsstk27.mtx,parallel,-O3,static,100,2,0.00225,0.251,17.212
bcsstk27.mtx,parallel,-O3,static,100,4,0.01086,0.25,22.777
bcsstk27.mtx,parallel,-O3,static,100,8,0.03677,0.26,21.344
bcsstk27.mtx,parallel,-O3,static,100,16,0.03916,0.232,21.74
bcsstk27.mtx,parallel,-O3,static,100,32,0.05245,0.174,17.675
bcsstk27.mtx,parallel,-O3,static,100,64,0.06096,0.141,18.179
bcsstk27.mtx,parallel,-O3,static,1000,1,7e-05,0.24,9.64
bcsstk27.mtx,parallel,-O3,static,1000,2,0.01599,0.24,12.894
