matrix,mode,opt_level,schedule,chunk_size,num_threads,p90_time_perf,p90_L1_miss,p90_LLC_miss
Hook_1498.mtx,parallel,-O3,static,10,8,26.260233,0.3,55.478
Hook_1498.mtx,parallel,-O3,static,10,16,24.892831,0.3,45.35
Hook_1498.mtx,parallel,-O3,static,10,32,23.29824,0.301,41.649
Hook_1498.mtx,parallel,-O3,static,10,64,20.906854,0.301,41.231
Hook_1498.mtx,parallel,-O3,static,100,1,33.050203,0.27,23.957
Hook_1498.mtx,parallel,-O3,static,100,2,32.049203,0.27,35.614
Hook_1498.mtx,parallel,-O3,static,100,4,20.066356,0.27,47.189
Hook_1498.mtx,parallel,-O3,static,100,8,14.355994,0.27,40.474
Hook_1498.mtx,parallel,-O3,static,100,16,13.50143,0.27,39.533
Hook_1498.mtx,parallel,-O3,static,100,32,77.988029,0.27,35.698
Hook_1498.mtx,parallel,-O3,static,100,64,143.674469,0.27,36.28
Hook_1498.mtx,parallel,-O3,static,1000,1,33.090424,0.27,23.577
Hook_1498.mtx,parallel,-O3,static,1000,2,30.325579,0.27,31.691
Hook_1498.mtx,parallel,-O3,static,1000,4,16.903496,0.27,38.954
Hook_1498.mtx,parallel,-O3,static,1000,8,12.341547,0.27,36.08
Hook_1498.mtx,parallel,-O3,static,1000,16,11.543536,0.27,35.993
Hook_1498.mtx,parallel,-O3,static,1000,32,80.431986,0.27,37.116
Hook_1498.mtx,parallel,-O3,static,1000,64,157.208562,0.27,35.98
Hook_1498.mtx,parallel,-O3,static,10000,1,33.261776,0.27,23.999
Hook_1498.mtx,parallel,-O3,static,10000,2,29.919267,0.27,29.952
Hook_1498.mtx,parallel,-O3,static,10000,4,16.227841,0.27,33.437
Hook_1498.mtx,parallel,-O3,static,10000,8,11.543203,0.27,31.565
Hook_1498.mtx,parallel,-O3,static,10000,16,10.959076,0.27,31.708
Hook_1498.mtx,parallel,-O3,static,10000,32,106.770777,0.27,31.151
Hook_1498.mtx,parallel,-O3,static,10000,64,171.917391,0.27,30.009
Hook_1498.mtx,parallel,-O3,dynamic,1,1,60.133267,0.27,23.367
Hook_1498.mtx,parallel,-O3,dynamic,1,2,216.235376,0.33,43.995
Hook_1498.mtx,parallel,-O3,dynamic,1,4,209.409976,0.37,79.101
Hook_1498.mtx,parallel,-O3,dynamic,1,8,164.391232,0.401,40.711
Hook_1498.mtx,parallel,-O3,dynamic,1,16,133.074904,0.43,32.852
Hook_1498.mtx,parallel,-O3,dynamic,1,32,115.027809,0.451,30.41
Hook_1498.mtx,parallel,-O3,dynamic,1,64,115.274739,0.47,24.265
Hook_1498.mtx,parallel,-O3,dynamic,10,1,36.721993,0.27,25.211
Hook_1498.mtx,parallel,-O3,dynamic,10,2,45.744276,0.28,56.274
Hook_1498.mtx,parallel,-O3,dynamic,10,4,35.500383,0.291,65.639
Hook_1498.mtx,parallel,-O3,dynamic,10,8,24.746704,0.3,57.364
Hook_1498.mtx,parallel,-O3,dynamic,10,16,22.213436,0.31,42.767
Hook_1498.mtx,parallel,-O3,dynamic,10,32,22.076297,0.31,39.954
Hook_1498.mtx,parallel,-O3,dynamic,10,64,38.985705,0.31,41.822
Hook_1498.mtx,parallel,-O3,dynamic,100,1,33.447647,0.27,23.61
Hook_1498.mtx,parallel,-O3,dynamic,100,2,27.128887,0.27,34.121
Hook_1498.mtx,parallel,-O3,dynamic,100,4,20.711779,0.271,47.662
Hook_1498.mtx,parallel,-O3,dynamic,100,8,16.573119,0.27,41.454
Hook_1498.mtx,parallel,-O3,dynamic,100,16,18.414616,0.27,40.256
Hook_1498.mtx,parallel,-O3,dynamic,100,32,77.437425,0.27,39.456
Hook_1498.mtx,parallel,-O3,dynamic,100,64,235.20093,0.27,39.226
Hook_1498.mtx,parallel,-O3,dynamic,1000,1,32.902169,0.27,24.411
Hook_1498.mtx,parallel,-O3,dynamic,1000,2,27.056932,0.27,31.27
Hook_1498.mtx,parallel,-O3,dynamic,1000,4,19.495344,0.27,40.21
Hook_1498.mtx,parallel,-O3,dynamic,1000,8,14.901304,0.27,36.689
Hook_1498.mtx,parallel,-O3,dynamic,1000,16,16.063357,0.27,37.952
Hook_1498.mtx,parallel,-O3,dynamic,1000,32,159.524608,0.27,38.468
Hook_1498.mtx,parallel,-O3,dynamic,1000,64,248.984099,0.27,38.888
Hook_1498.mtx,parallel,-O3,dynamic,10000,1,32.833075,0.27,23.822
Hook_1498.mtx,parallel,-O3,dynamic,10000,2,25.336647,0.27,28.924
Hook_1498.mtx,parallel,-O3,dynamic,10000,4,18.003917,0.27,33.603
Hook_1498.mtx,parallel,-O3,dynamic,10000,8,13.867974,0.27,32.128
Hook_1498.mtx,parallel,-O3,dynamic,10000,16,14.346099,0.27,32.466
Hook_1498.mtx,parallel,-O3,dynamic,10000,32,121.686172,0.27,31.002
Hook_1498.mtx,parallel,-O3,dynamic,10000,64,235.70199,0.27,31.52
Hook_1498.mtx,parallel,-O3,guided,1,1,33.0657,0.27,24.357
Hook_1498.mtx,parallel,-O3,guided,1,2,26.519441,0.27,23.765
Hook_1498.mtx,parallel,-O3,guided,1,4,17.999912,0.27,23.046
Hook_1498.mtx,parallel,-O3,guided,1,8,14.111876,0.27,25.201
Hook_1498.mtx,parallel,-O3,guided,1,16,14.657998,0.27,28.162
Hook_1498.mtx,parallel,-O3,guided,1,32,144.334793,0.27,30.095
Hook_1498.mtx,parallel,-O3,guided,1,64,230.289316,0.27,32.645
