matrix,mode,opt_level,schedule,chunk_size,num_threads,p90_time,p90_bandwidth,p90_gflops
bcsstk27.mtx,parallel,-O3,static,10,4,0.023985,21.489272,3.590199
bcsstk27.mtx,parallel,-O3,static,10,8,0.026369,19.077902,3.187333
bcsstk27.mtx,parallel,-O3,static,10,16,0.025034,15.649796,2.614601
bcsstk27.mtx,parallel,-O3,static,10,32,0.033712,11.899019,1.987961
bcsstk27.mtx,parallel,-O3,static,10,64,0.049186,7.959012,1.329707
bcsstk27.mtx,parallel,-O3,static,100,1,0.02718,13.209002,2.20682
bcsstk27.mtx,parallel,-O3,static,100,2,0.021672,19.197083,3.207244
bcsstk27.mtx,parallel,-O3,static,100,4,0.01359,28.287467,4.725969
bcsstk27.mtx,parallel,-O3,static,100,8,0.01502,28.795625,4.810867
bcsstk27.mtx,parallel,-O3,static,100,16,0.019145,24.959218,4.169921
bcsstk27.mtx,parallel,-O3,static,100,32,0.027036,16.361151,2.733447
bcsstk27.mtx,parallel,-O3,static,100,64,0.041914,10.128065,1.692089
bcsstk27.mtx,parallel,-O3,static,1000,1,0.025034,13.84405,2.312917
bcsstk27.mtx,parallel,-O3,static,1000,2,0.02408,14.997721,2.50566
bcsstk27.mtx,parallel,-O3,static,1000,4,0.026083,13.84405,2.312917
bcsstk27.mtx,parallel,-O3,static,1000,8,0.030136,12.741427,2.128702
bcsstk27.mtx,parallel,-O3,static,1000,16,0.032043,11.811239,1.973296
bcsstk27.mtx,parallel,-O3,static,1000,32,0.038028,10.464341,1.748271
bcsstk27.mtx,parallel,-O3,static,1000,64,0.05207,10.139305,1.693967
bcsstk27.mtx,parallel,-O3,static,10000,1,0.027966,13.209002,2.20682
bcsstk27.mtx,parallel,-O3,static,10000,2,0.029778,12.741427,2.128702
bcsstk27.mtx,parallel,-O3,static,10000,4,0.030041,12.305823,2.055926
bcsstk27.mtx,parallel,-O3,static,10000,8,0.034189,11.07524,1.850333
