num_procs,rank,matrix,elapsed_time,comm_time,local_nz,ghost_entries,local_flops,comp_time
32,21,Hook_1498,0.29720528160000004,0.2898391251,976498,908510,1952996,0.007366156500000054
32,21,bcsstk27,0.000260568,0.00025720610000000004,853,781,1706,3.361899999999938e-06
32,21,msdoor,0.01994659899999999,0.01751174909999999,321096,300616,642192,0.0024348498999999975
32,21,tmt_sym,0.0040429832,0.0034102205,90768,66361,181536,0.0006327627000000001
32,22,Andrews,0.0009119751999999999,0.0008210424,12606,10279,25212,9.09327999999999e-05
32,22,Hook_1498,0.08036663519999993,0.07247390739999993,975962,907630,1951924,0.007892727799999999
32,22,bcsstk27,0.00031034950000000003,0.00030579569999999995,900,828,1800,4.553800000000078e-06
32,22,msdoor,0.016222524999999998,0.0138696435,322319,302070,644638,0.0023528814999999974
32,22,tmt_sym,0.0040560962,0.0034315108,90783,66576,181566,0.0006245854000000006
32,23,Andrews,0.0009947301000000001,0.0009039167,12943,10619,25886,9.081340000000016e-05
32,23,Hook_1498,0.2508255721,0.2435083149,976083,907837,1952166,0.00731725720000001
32,23,bcsstk27,0.0003512858,0.0003469947,876,804,1752,4.291099999999997e-06
32,23,msdoor,0.0157752754,0.0140405889,325121,304819,650242,0.0017346865000000006
32,23,tmt_sym,0.0035793541,0.0030431749,90692,66634,181384,0.0005361792
32,24,Andrews,0.0006887676000000001,0.0005868438,12576,10213,25152,0.00010192380000000002
32,24,Hook_1498,0.08090384019999994,0.07248041639999993,974932,906755,1949864,0.00842342380000001
32,24,bcsstk27,0.0002815965,0.0002779242,914,842,1828,3.6723000000000224e-06
32,24,msdoor,0.016582751399999998,0.0138187404,320766,300194,641532,0.0027640109999999985
32,24,tmt_sym,0.0038320538,0.0032237528,90959,67087,181918,0.0006083009999999999
32,25,Andrews,0.0006710764,0.0005665065999999999,12929,10609,25858,0.00010456980000000005
32,25,Hook_1498,0.2658574108,0.2558421609,975638,907607,1951276,0.010015249900000023
32,25,bcsstk27,0.0002683403,0.00026500229999999996,874,803,1748,3.338000000000028e-06
32,25,msdoor,0.0164669994,0.0140713929,323361,302950,646722,0.0023956065000000012
32,25,tmt_sym,0.0033168555,0.0027293446,90648,66787,181296,0.0005875108999999997
