num_procs,rank,elapsed_time,comm_time,local_nz,ghost_entries,local_flops,comp_time
64,57,0.3085261346,0.18769347620000001,499899,491971,999798,0.12083265839999999
64,58,0.3851595163,0.25649590499999997,500063,492158,1000126,0.12866361130000004
64,59,0.32094702680000003,0.1927858829,500239,492374,1000478,0.12816114390000002
64,60,0.3723195554,0.25376684660000004,500226,492368,1000452,0.11855270879999996
64,61,0.2610836746,0.13553769569999996,500134,492183,1000268,0.12554597890000002
64,62,0.3854865317,0.2564870837,499810,492134,999620,0.12899944800000002
64,63,0.2576007127,0.13526525499999997,499746,491782,999492,0.12233545770000004
128,0,1.1550138237,0.8961982726,500109,496292,1000218,0.2588155511000001
128,1,1.2156012532,0.9563655374,499877,496104,999754,0.25923571580000004
128,2,1.2830956461,1.0240826132,499748,495818,999496,0.2590130329
128,3,1.154567647,0.8965493915999999,499898,496032,999796,0.2580182554
128,4,1.0298732756,0.7685517072,499887,496016,999774,0.2613215684
128,5,1.1532999516,0.8848244906,500177,496214,1000354,0.26847546099999997
128,6,1.1687713858,0.9108396525999999,499961,496031,999922,0.25793173320000007
128,7,1.1544537545,0.8964390517,500058,496221,1000116,0.25801470279999994
128,8,1.0299607037,0.7684748653,500107,496192,1000214,0.26148583840000006
128,9,1.1431195261,0.892521906,500244,496409,1000488,0.2505976201
128,10,1.154572606,0.8963174342,499829,495995,999658,0.2582551717999999
128,11,1.154016352,0.896155548,500017,496111,1000034,0.257860804
128,12,0.9145622492,0.6555558914999999,500307,496447,1000614,0.2590063577
128,13,1.1326410533,0.857718277,499794,495926,999588,0.27492277629999995
128,14,1.154134822,0.8961870432,500214,496475,1000428,0.2579477788000001
128,15,1.0263542886,0.7682999374999999,499809,495919,999618,0.2580543511000002
128,16,1.0456417559,0.7841941119999999,499904,495882,999808,0.2614476439000001
128,17,1.1676722053000002,0.9094336747,500225,496276,1000450,0.2582385306000001
128,18,1.1675220731999998,0.9092059133,500038,495977,1000076,0.2583161598999998
128,19,1.1541662455,0.8962354187,500070,496197,1000140,0.2579308267999999
128,20,1.0302329543,0.7715181351,499847,495945,999694,0.25871481919999995
128,21,1.1151968959999998,0.7756788255999999,500015,496107,1000030,0.3395180703999999
128,22,1.0427018407,0.782930255,499895,496020,999790,0.2597715856999999
128,23,1.0393604044,0.7812668801,499931,496078,999862,0.2580935243
128,24,1.0273580074000002,0.7685084108,499933,496015,999866,0.2588495966000002
128,25,1.0921766999,0.807090306,500163,496285,1000326,0.2850863939
128,26,1.0393876786999998,0.78120842,500146,496158,1000292,0.2581792586999998
128,27,1.0266538384,0.7686958314,499987,496119,999974,0.25795800699999993
128,28,1.0268941882,0.7681052448,500038,496152,1000076,0.2587889434
