num_procs,rank,elapsed_time,comm_time,local_nz,ghost_entries,local_flops,comp_time
32,6,0.2664892198,0.2615415815,499961,484367,999922,0.004947638300000001
32,7,0.027907729399999998,0.022391700599999998,500058,484465,1000116,0.0055160287999999995
32,8,0.04831047019999993,0.04158728079999993,500107,484529,1000214,0.006723189399999996
32,9,0.0230961565,0.018147563499999998,500244,484581,1000488,0.004948593000000001
32,10,0.021990537799999998,0.018695831599999997,499829,484498,999658,0.0032947062000000006
32,11,0.0228479859,0.018924832599999997,500017,484400,1000034,0.003923153300000003
32,12,0.08320093169999994,0.07493317159999995,500307,484629,1000614,0.008267760099999993
32,13,0.0236523626,0.0192372797,499794,484204,999588,0.004415082900000002
32,14,0.0247358088,0.019027900299999997,500214,484715,1000428,0.005707908500000001
32,15,0.0244752171,0.0187541723,499809,484245,999618,0.005721044799999998
32,16,0.0243504765,0.020505142499999997,499904,484198,999808,0.0038453340000000023
32,17,0.0222437383,0.018384551699999998,500225,484438,1000450,0.0038591866000000016
32,18,0.268989658,0.2608501669,500038,484163,1000076,0.008139491100000007
32,19,0.023825669,0.019319414599999998,500070,484541,1000140,0.004506254400000003
32,20,0.027587843199999997,0.018743729799999997,499847,484274,999694,0.008844113399999999
32,21,0.05555398499999993,0.04172716139999993,500015,484361,1000030,0.013826823600000003
32,22,0.0223076582,0.0185167786,499895,484280,999790,0.0037908796000000015
32,23,0.021678519099999998,0.018202495399999997,499931,484399,999862,0.0034760237000000006
32,24,0.037985158099999985,0.03319025059999999,499933,484137,999866,0.004794907499999994
32,25,0.0235613108,0.019152904,500163,484658,1000326,0.0044084068
32,26,0.028432082999999997,0.018870186599999998,500146,484514,1000292,0.009561896399999999
32,27,0.05481460089999993,0.04152419599999993,499987,484445,999974,0.013290404899999997
32,28,0.07644932289999995,0.07266578679999994,500038,484376,1000076,0.0037835361000000123
32,29,0.021688747799999998,0.0180562493,499921,484302,999842,0.0036324984999999976
32,30,0.26614263039999997,0.26136550869999997,500074,484471,1000148,0.004777121699999998
32,31,0.022864270199999998,0.0185610292,499871,484170,999742,0.004303240999999999
64,0,0.2696048736,0.2633260247,500109,492321,1000218,0.0062788489000000225
64,1,0.2734116788,0.26460483079999997,499877,492195,999754,0.008806848000000034
64,2,0.2762748004,0.2646673677,499748,491924,999496,0.011607432700000031
64,3,0.2830195192,0.26453895590000004,499898,492124,999796,0.018480563299999975
64,4,0.2802828311,0.2644498352,499887,492096,999774,0.015832995900000035
64,5,0.27242643829999996,0.2646052363,500177,492473,1000354,0.007821201999999972
64,6,0.2692108869,0.2639809848,499961,492122,999922,0.005229902100000017
64,7,0.28184940820000004,0.26427588420000003,500058,492322,1000116,0.017573524000000007
64,8,0.2792403455,0.2644490476,500107,492374,1000214,0.0147912979
64,9,0.2741202834,0.2645846602,500244,492497,1000488,0.00953562320000001
64,10,0.27133021329999996,0.2650705818,499829,492191,999658,0.006259631499999974
64,11,0.2711505647,0.26436631689999995,500017,492314,1000034,0.006784247800000032
64,12,0.26913616619999997,0.26476156749999996,500307,492499,1000614,0.00437459870000001
64,13,0.2725743535,0.264311671,499794,492017,999588,0.008262682499999952
64,14,0.2759310242,0.2631599908,500214,492521,1000428,0.012771033399999965
64,15,0.2731019736,0.2621487138,499809,491991,999618,0.010953259800000004
64,16,0.2688139201,0.2634660242,499904,491913,999808,0.00534789590000001
64,17,0.2695300336,0.263420224,500225,492398,1000450,0.006109809600000016
64,18,0.2716295715,0.2618271349,500038,491949,1000076,0.00980243660000002
64,19,0.269487977,0.2629785062,500070,492341,1000140,0.006509470799999972
64,20,0.2695833682,0.26333200889999997,499847,492172,999694,0.006251359300000037
64,21,0.2690935135,0.2622375013,500015,492143,1000030,0.0068560121999999835
64,22,0.268713355,0.2629657511,499895,492108,999790,0.005747603900000009
64,23,0.2690933708,0.2624454257,499931,492218,999862,0.006647945099999997
64,24,0.266120625,0.2612112044,499933,492024,999866,0.004909420599999992
64,25,0.269737625,0.2616852998,500163,492490,1000326,0.008052325199999988
64,26,0.274552226,0.2628031495,500146,492276,1000292,0.01174907650000001
64,27,0.2729012012,0.2619437933,499987,492151,999974,0.010957407899999994
64,28,0.2686882738,0.26231143479999997,500038,492134,1000076,0.006376839000000023
64,29,0.2686779261,0.2617549899,499921,492039,999842,0.006922936200000007
64,30,0.2698389765,0.26121764199999997,500074,492186,1000148,0.008621334500000022
64,31,0.271039319,0.26195876549999997,499871,492070,999742,0.009080553500000033
64,32,0.2698541402,0.2625962495,500042,492163,1000084,0.0072578906999999915
64,33,0.2738576411,0.2623178958,500142,492480,1000284,0.011539745300000015
64,34,0.2685475349,0.2635372878,500135,492315,1000270,0.005010247099999976
64,35,0.2683784244,0.26305868600000004,500089,492327,1000178,0.00531973839999994
