rank,num_procs,run,elapsed_time,comm_time,local_nz,ghost_entries,local_flops,matrix
4,16,7,0.000282526,0.000087738,25296,19731,50592,Andrews
4,16,8,0.000273228,0.000084400,25296,19731,50592,Andrews
4,16,9,0.000271797,0.000083447,25296,19731,50592,Andrews
5,16,0,0.000368357,0.000163317,26090,20417,52180,Andrews
5,16,1,0.000294924,0.000098705,26090,20417,52180,Andrews
5,16,2,0.000289679,0.000093222,26090,20417,52180,Andrews
5,16,3,0.000285864,0.000092030,26090,20417,52180,Andrews
5,16,4,0.000287771,0.000092268,26090,20417,52180,Andrews
5,16,5,0.000287056,0.000091791,26090,20417,52180,Andrews
5,16,6,0.000285864,0.000091553,26090,20417,52180,Andrews
5,16,7,0.000291109,0.000090122,26090,20417,52180,Andrews
5,16,8,0.000294447,0.000092983,26090,20417,52180,Andrews
5,16,9,0.000290871,0.000090599,26090,20417,52180,Andrews
6,16,0,0.000354528,0.000157356,25361,19736,50722,Andrews
6,16,1,0.000288725,0.000097752,25361,19736,50722,Andrews
6,16,2,0.000278473,0.000088692,25361,19736,50722,Andrews
6,16,3,0.000277758,0.000088453,25361,19736,50722,Andrews
6,16,4,0.000276327,0.000087023,25361,19736,50722,Andrews
6,16,5,0.000277281,0.000086308,25361,19736,50722,Andrews
6,16,6,0.000276804,0.000086308,25361,19736,50722,Andrews
6,16,7,0.000286579,0.000086308,25361,19736,50722,Andrews
6,16,8,0.000274181,0.000084639,25361,19736,50722,Andrews
6,16,9,0.000282526,0.000087500,25361,19736,50722,Andrews
7,16,0,0.000364542,0.000164986,25792,20161,51584,Andrews
7,16,1,0.000284910,0.000090361,25792,20161,51584,Andrews
7,16,2,0.000282288,0.000086784,25792,20161,51584,Andrews
7,16,3,0.000276804,0.000083208,25792,20161,51584,Andrews
7,16,4,0.000283241,0.000089884,25792,20161,51584,Andrews
7,16,5,0.000278234,0.000084639,25792,20161,51584,Andrews
7,16,6,0.000272036,0.000081062,25792,20161,51584,Andrews
7,16,7,0.000279188,0.000081778,25792,20161,51584,Andrews
7,16,8,0.000277758,0.000084639,25792,20161,51584,Andrews
7,16,9,0.000286341,0.000086546,25792,20161,51584,Andrews
8,16,0,0.000363827,0.000162125,25205,19622,50410,Andrews
8,16,1,0.000286102,0.000095367,25205,19622,50410,Andrews
8,16,2,0.000278711,0.000089169,25205,19622,50410,Andrews
8,16,3,0.000276089,0.000087976,25205,19622,50410,Andrews
8,16,4,0.000283003,0.000092506,25205,19622,50410,Andrews
8,16,5,0.000274658,0.000087738,25205,19622,50410,Andrews
8,16,6,0.000277519,0.000089645,25205,19622,50410,Andrews
8,16,7,0.000280380,0.000088930,25205,19622,50410,Andrews
8,16,8,0.000275612,0.000086308,25205,19622,50410,Andrews
8,16,9,0.000279903,0.000090599,25205,19622,50410,Andrews
9,16,0,0.000370741,0.000155687,25829,20214,51658,Andrews
9,16,1,0.000270367,0.000093699,25829,20214,51658,Andrews
9,16,2,0.000261307,0.000084639,25829,20214,51658,Andrews
9,16,3,0.000260353,0.000081778,25829,20214,51658,Andrews
9,16,4,0.000258684,0.000080824,25829,20214,51658,Andrews
9,16,5,0.000262260,0.000084162,25829,20214,51658,Andrews
9,16,6,0.000257492,0.000081062,25829,20214,51658,Andrews
9,16,7,0.000268936,0.000083208,25829,20214,51658,Andrews
9,16,8,0.000262499,0.000084400,25829,20214,51658,Andrews
9,16,9,0.000258684,0.000082970,25829,20214,51658,Andrews
10,16,0,0.000345230,0.000150442,25295,19711,50590,Andrews
10,16,1,0.000276327,0.000088930,25295,19711,50590,Andrews
10,16,2,0.000273943,0.000086308,25295,19711,50590,Andrews
10,16,3,0.000272989,0.000086069,25295,19711,50590,Andrews
10,16,4,0.000273466,0.000087500,25295,19711,50590,Andrews
10,16,5,0.000276804,0.000088453,25295,19711,50590,Andrews
10,16,6,0.000273705,0.000086784,25295,19711,50590,Andrews
10,16,7,0.000281811,0.000087738,25295,19711,50590,Andrews
10,16,8,0.000271320,0.000086069,25295,19711,50590,Andrews
10,16,9,0.000273705,0.000086784,25295,19711,50590,Andrews
11,16,0,0.000354052,0.000152826,25805,20119,51610,Andrews
11,16,1,0.000281572,0.000085592,25805,20119,51610,Andrews
11,16,2,0.000280857,0.000085831,25805,20119,51610,Andrews
11,16,3,0.000278473,0.000085354,25805,20119,51610,Andrews
11,16,4,0.000279665,0.000086546,25805,20119,51610,Andrews
11,16,5,0.000281096,0.000085831,25805,20119,51610,Andrews
11,16,6,0.000276804,0.000085354,25805,20119,51610,Andrews
11,16,7,0.000285864,0.000086069,25805,20119,51610,Andrews
11,16,8,0.000286341,0.000088215,25805,20119,51610,Andrews
11,16,9,0.000282049,0.000086784,25805,20119,51610,Andrews
12,16,0,0.000356913,0.000156164,25225,19644,50450,Andrews
12,16,1,0.000273466,0.000085592,25225,19644,50450,Andrews
12,16,2,0.000272512,0.000084162,25225,19644,50450,Andrews
12,16,3,0.000275135,0.000085592,25225,19644,50450,Andrews
12,16,4,0.000277519,0.000088930,25225,19644,50450,Andrews
12,16,5,0.000274897,0.000088215,25225,19644,50450,Andrews
12,16,6,0.000273943,0.000086546,25225,19644,50450,Andrews
12,16,7,0.000283003,0.000089884,25225,19644,50450,Andrews
12,16,8,0.000274658,0.000086308,25225,19644,50450,Andrews
12,16,9,0.000276804,0.000087738,25225,19644,50450,Andrews
13,16,0,0.000376701,0.000161886,26296,20631,52592,Andrews
13,16,1,0.000278950,0.000096560,26296,20631,52592,Andrews
13,16,2,0.000263691,0.000084162,26296,20631,52592,Andrews
13,16,3,0.000264883,0.000083923,26296,20631,52592,Andrews
13,16,4,0.000263929,0.000083447,26296,20631,52592,Andrews
13,16,5,0.000264168,0.000082731,26296,20631,52592,Andrews
13,16,6,0.000266314,0.000084639,26296,20631,52592,Andrews
13,16,7,0.000269651,0.000084162,26296,20631,52592,Andrews
13,16,8,0.000264883,0.000084400,26296,20631,52592,Andrews
13,16,9,0.000262499,0.000082254,26296,20631,52592,Andrews
14,16,0,0.000355721,0.000159502,25502,19882,51004,Andrews
14,16,1,0.000272751,0.000083923,25502,19882,51004,Andrews
14,16,2,0.000275612,0.000087261,25502,19882,51004,Andrews
14,16,3,0.000272512,0.000086069,25502,19882,51004,Andrews
14,16,4,0.000270844,0.000081301,25502,19882,51004,Andrews
14,16,5,0.000272989,0.000084162,25502,19882,51004,Andrews
14,16,6,0.000278234,0.000083685,25502,19882,51004,Andrews
14,16,7,0.000280857,0.000084639,25502,19882,51004,Andrews
14,16,8,0.000275373,0.000086784,25502,19882,51004,Andrews
14,16,9,0.000269890,0.000081778,25502,19882,51004,Andrews
15,16,0,0.000363827,0.000161648,25927,20263,51854,Andrews
15,16,1,0.000281811,0.000089884,25927,20263,51854,Andrews
15,16,2,0.000283480,0.000092030,25927,20263,51854,Andrews
15,16,3,0.000297785,0.000091553,25927,20263,51854,Andrews
15,16,4,0.000288010,0.000094175,25927,20263,51854,Andrews
15,16,5,0.000284672,0.000092506,25927,20263,51854,Andrews
15,16,6,0.000288963,0.000090122,25927,20263,51854,Andrews
15,16,7,0.000293016,0.000094891,25927,20263,51854,Andrews
15,16,8,0.000283957,0.000090122,25927,20263,51854,Andrews
15,16,9,0.000287294,0.000094175,25927,20263,51854,Andrews
1,16,0,0.000362873,0.000160217,25973,20247,51946,Andrews
1,16,1,0.000294209,0.000092745,25973,20247,51946,Andrews
1,16,2,0.000290871,0.000093937,25973,20247,51946,Andrews
1,16,3,0.000290871,0.000092745,25973,20247,51946,Andrews
1,16,4,0.000291586,0.000094175,25973,20247,51946,Andrews
1,16,5,0.000286102,0.000089645,25973,20247,51946,Andrews
1,16,6,0.000288725,0.000092745,25973,20247,51946,Andrews
1,16,7,0.000295162,0.000092506,25973,20247,51946,Andrews
1,16,8,0.000290632,0.000093460,25973,20247,51946,Andrews
1,16,9,0.000287294,0.000089407,25973,20247,51946,Andrews
2,16,0,0.000356674,0.000158310,25361,19701,50722,Andrews
2,16,1,0.000281811,0.000089884,25361,19701,50722,Andrews
2,16,2,0.000279188,0.000087976,25361,19701,50722,Andrews
2,16,3,0.000279427,0.000088930,25361,19701,50722,Andrews
2,16,4,0.000279427,0.000087738,25361,19701,50722,Andrews
2,16,5,0.000279427,0.000087738,25361,19701,50722,Andrews
2,16,6,0.000278473,0.000088453,25361,19701,50722,Andrews
2,16,7,0.000284910,0.000088215,25361,19701,50722,Andrews
2,16,8,0.000281096,0.000088215,25361,19701,50722,Andrews
2,16,9,0.000277519,0.000088215,25361,19701,50722,Andrews
12,32,0,0.001046896,0.000959396,12520,10190,25040,Andrews
12,32,1,0.000658512,0.000566244,12520,10190,25040,Andrews
12,32,2,0.000662088,0.000578403,12520,10190,25040,Andrews
12,32,3,0.000635624,0.000553131,12520,10190,25040,Andrews
12,32,4,0.000645399,0.000562668,12520,10190,25040,Andrews
12,32,5,0.000652313,0.000568867,12520,10190,25040,Andrews
12,32,6,0.000648022,0.000566244,12520,10190,25040,Andrews
12,32,7,0.000610113,0.000527859,12520,10190,25040,Andrews
12,32,8,0.000665665,0.000583887,12520,10190,25040,Andrews
12,32,9,0.000621557,0.000538349,12520,10190,25040,Andrews
13,32,0,0.000679731,0.000590563,12969,10626,25938,Andrews
13,32,1,0.000634432,0.000541687,12969,10626,25938,Andrews
13,32,2,0.000631571,0.000545263,12969,10626,25938,Andrews
13,32,3,0.000612736,0.000525475,12969,10626,25938,Andrews
13,32,4,0.000639439,0.000553608,12969,10626,25938,Andrews
13,32,5,0.000653267,0.000566721,12969,10626,25938,Andrews
13,32,6,0.000618219,0.000532627,12969,10626,25938,Andrews
13,32,7,0.000601292,0.000514746,12969,10626,25938,Andrews
13,32,8,0.000654221,0.000567675,12969,10626,25938,Andrews
13,32,9,0.000602961,0.000515461,12969,10626,25938,Andrews
14,32,0,0.000673532,0.000588179,12670,10331,25340,Andrews
14,32,1,0.000626802,0.000534773,12670,10331,25340,Andrews
14,32,2,0.000637770,0.000553131,12670,10331,25340,Andrews
14,32,3,0.000630856,0.000546694,12670,10331,25340,Andrews
14,32,4,0.000614643,0.000531197,12670,10331,25340,Andrews
14,32,5,0.000629902,0.000545740,12670,10331,25340,Andrews
14,32,6,0.000613451,0.000531197,12670,10331,25340,Andrews
14,32,7,0.000594378,0.000511169,12670,10331,25340,Andrews
14,32,8,0.000642061,0.000558138,12670,10331,25340,Andrews
14,32,9,0.000598431,0.000513792,12670,10331,25340,Andrews
15,32,0,0.000646830,0.000558138,12942,10569,25884,Andrews
15,32,1,0.000593662,0.000505209,12942,10569,25884,Andrews
15,32,2,0.000624895,0.000537157,12942,10569,25884,Andrews
15,32,3,0.000599146,0.000512123,12942,10569,25884,Andrews
15,32,4,0.000600815,0.000514269,12942,10569,25884,Andrews
15,32,5,0.000623465,0.000537157,12942,10569,25884,Andrews
15,32,6,0.000617981,0.000530958,12942,10569,25884,Andrews
15,32,7,0.000597715,0.000507593,12942,10569,25884,Andrews
15,32,8,0.000605106,0.000518799,12942,10569,25884,Andrews
15,32,9,0.000594616,0.000507116,12942,10569,25884,Andrews
16,32,0,0.000624657,0.000538349,12737,10418,25474,Andrews
16,32,1,0.000607014,0.000521898,12737,10418,25474,Andrews
16,32,2,0.000597715,0.000507355,12737,10418,25474,Andrews
16,32,3,0.000640392,0.000555038,12737,10418,25474,Andrews
16,32,4,0.000629902,0.000544548,12737,10418,25474,Andrews
16,32,5,0.000662088,0.000574112,12737,10418,25474,Andrews
16,32,6,0.000609636,0.000524998,12737,10418,25474,Andrews
16,32,7,0.000569344,0.000484467,12737,10418,25474,Andrews
16,32,8,0.000669718,0.000585794,12737,10418,25474,Andrews
16,32,9,0.000602961,0.000519514,12737,10418,25474,Andrews
17,32,0,0.000637531,0.000548363,13019,10627,26038,Andrews
17,32,1,0.000601053,0.000509977,13019,10627,26038,Andrews
17,32,2,0.000621319,0.000530958,13019,10627,26038,Andrews
17,32,3,0.000597477,0.000509262,13019,10627,26038,Andrews
17,32,4,0.000593901,0.000502825,13019,10627,26038,Andrews
17,32,5,0.000609875,0.000523090,13019,10627,26038,Andrews
17,32,6,0.000638962,0.000550985,13019,10627,26038,Andrews
17,32,7,0.000623226,0.000535965,13019,10627,26038,Andrews
17,32,8,0.000608683,0.000518799,13019,10627,26038,Andrews
17,32,9,0.000598907,0.000512123,13019,10627,26038,Andrews
18,32,0,0.000627041,0.000540972,12733,10394,25466,Andrews
18,32,1,0.000568151,0.000481367,12733,10394,25466,Andrews
18,32,2,0.000582218,0.000491142,12733,10394,25466,Andrews
18,32,3,0.000633001,0.000548124,12733,10394,25466,Andrews
18,32,4,0.000612259,0.000527382,12733,10394,25466,Andrews
18,32,5,0.000622988,0.000537634,12733,10394,25466,Andrews
18,32,6,0.000665665,0.000580788,12733,10394,25466,Andrews
